"","salary","age","elevel","car","zipcode","credit","brand","Age_Level","Age_Brackets"
"154",25011.38899,20,"4","3","7",282742.6841,"Sony",1,"<40"
"155",41010.73299,62,"4","9","4",476510.2101,"Sony",3,"60+"
"156",148518.7501,52,"1","17","8",293916.2145,"Sony",2,"40-60"
"157",140390.2986,69,"2","7","6",235410.8935,"Sony",3,"60+"
"158",106841.0035,78,"3","2","5",386222.3608,"Sony",3,"60+"
"159",90537.0496,35,"1","2","2",302056.9251,"Acer",1,"<40"
"160",37910.1441,20,"3","1","1",399464.5848,"Sony",1,"<40"
"161",92422.59324,52,"2","8","2",308886.506,"Acer",2,"40-60"
"162",150000,31,"4","18","5",249790.5327,"Sony",1,"<40"
"163",66938.52234,47,"1","11","8",15198.15057,"Sony",2,"40-60"
"164",88387.43138,80,"1","11","1",82333.27718,"Sony",3,"60+"
"165",29060.81025,45,"2","9","8",406164.5896,"Sony",2,"40-60"
"166",107592.5351,33,"2","6","5",169847.3343,"Sony",1,"<40"
"167",27478.32781,69,"3","8","1",5e+05,"Acer",3,"60+"
"168",145683.8368,41,"3","9","7",271596.1632,"Sony",2,"40-60"
"169",119888.6319,41,"0","3","6",328779.0399,"Acer",2,"40-60"
"170",128751.1452,66,"0","2","0",394010.9906,"Sony",3,"60+"
"171",102644.1368,72,"1","6","0",279655.7691,"Sony",3,"60+"
"172",50887.8217,55,"0","20","2",329172.0321,"Sony",2,"40-60"
"173",84796.30592,24,"2","19","2",167741.3617,"Acer",1,"<40"
"174",112310.1495,75,"1","3","6",161946.6083,"Sony",3,"60+"
"175",132530.6515,25,"1","5","4",145812.3485,"Sony",1,"<40"
"176",23520.41143,72,"2","8","7",313318.6606,"Acer",3,"60+"
"177",29819.80482,57,"4","4","4",186745.1407,"Sony",2,"40-60"
"178",77468.8675,65,"4","20","8",247147.0116,"Sony",3,"60+"
"179",68054.64082,61,"1","20","3",277300.5101,"Acer",3,"60+"
"180",20000,41,"0","10","2",485644.5931,"Sony",2,"40-60"
"181",95047.9237,79,"4","8","2",329922.743,"Sony",3,"60+"
"182",130455.1561,56,"4","20","1",92299.37273,"Sony",2,"40-60"
"183",105758.7208,75,"1","15","1",1482.385897,"Sony",3,"60+"
"184",69861.26466,80,"1","15","0",146050.3559,"Acer",3,"60+"
"185",95688.25285,29,"2","13","3",247280.5348,"Acer",1,"<40"
"186",140323.7074,33,"1","20","2",135551.9597,"Sony",1,"<40"
"187",68053.3894,44,"4","18","2",144930.6728,"Sony",2,"40-60"
"188",139193.2134,69,"0","13","4",0,"Sony",3,"60+"
"189",150000,56,"1","7","4",373050.1477,"Sony",2,"40-60"
"190",101445.0105,23,"2","15","2",243688.7018,"Sony",1,"<40"
"191",77597.74445,54,"2","11","7",210081.964,"Acer",2,"40-60"
"192",54661.19921,32,"0","18","7",168218.3817,"Acer",1,"<40"
"193",81407.64171,31,"4","14","8",329644.3365,"Acer",1,"<40"
"194",67176.56667,21,"0","5","1",348279.437,"Acer",1,"<40"
"195",142005.0501,47,"2","6","8",109404.8217,"Sony",2,"40-60"
"196",103158.6319,44,"1","5","0",244790.5043,"Acer",2,"40-60"
"197",58555.51104,62,"2","19","3",389687.1404,"Acer",3,"60+"
"198",50388.49414,41,"0","3","5",459917.5741,"Sony",2,"40-60"
"199",31488.72297,39,"0","18","5",180817.9448,"Sony",1,"<40"
"200",48536.88348,22,"2","8","1",46120.3939,"Sony",1,"<40"
"201",59742.60873,25,"0","17","5",440156.7453,"Acer",1,"<40"
"202",98737.84065,65,"3","18","3",208253.8972,"Sony",3,"60+"
"203",44863.38388,70,"4","15","3",153945.3747,"Acer",3,"60+"
"204",48777.81068,28,"0","15","7",5e+05,"Acer",1,"<40"
"205",59331.00983,70,"3","4","2",152312.8766,"Acer",3,"60+"
"206",127367.2236,78,"0","11","2",252011.5877,"Sony",3,"60+"
"207",121775.8335,30,"1","11","8",0,"Sony",1,"<40"
"208",138178.8772,53,"4","20","3",102848.1931,"Sony",2,"40-60"
"209",58211.01619,60,"1","1","7",498816.7148,"Acer",3,"60+"
"210",127287.1331,28,"1","17","2",96898.41995,"Sony",1,"<40"
"211",44057.64317,68,"4","12","6",410260.7621,"Acer",3,"60+"
"212",54394.40177,28,"4","7","4",463516.5896,"Acer",1,"<40"
"213",68668.61837,29,"0","8","4",426409.1721,"Acer",1,"<40"
"214",93055.2053,45,"3","3","8",44131.25215,"Acer",2,"40-60"
"215",74272.1252,38,"2","6","2",27119.69087,"Acer",1,"<40"
"216",68366.51769,43,"4","14","2",355413.1987,"Sony",2,"40-60"
"217",90626.79709,24,"4","3","0",288700.3295,"Acer",1,"<40"
"218",31242.4138,77,"4","8","5",70410.16331,"Acer",3,"60+"
"219",130119.761,46,"0","1","1",277130.0322,"Sony",2,"40-60"
"220",41786.0207,30,"4","16","2",121711.702,"Sony",1,"<40"
"221",52138.16018,49,"2","15","5",298294.8226,"Sony",2,"40-60"
"222",86882.99922,26,"1","3","7",5e+05,"Acer",1,"<40"
"223",49480.10439,63,"3","8","4",95135.23405,"Acer",3,"60+"
"224",105369.2255,40,"3","4","4",36805.24678,"Acer",2,"40-60"
"225",107882.1445,20,"2","7","1",64060.67396,"Sony",1,"<40"
"226",79393.77022,51,"3","4","5",327541.1979,"Acer",2,"40-60"
"227",110097.7753,79,"4","12","5",282891.0917,"Sony",3,"60+"
"228",107887.4497,42,"3","3","3",106710.7235,"Acer",2,"40-60"
"229",96160.32369,61,"2","6","3",328170.5307,"Sony",3,"60+"
"230",61926.03154,62,"2","2","2",353903.9806,"Acer",3,"60+"
"231",89248.67214,42,"4","15","0",453443.3871,"Acer",2,"40-60"
"232",120689.9804,34,"4","6","1",370293.4318,"Sony",1,"<40"
"233",73906.88111,32,"4","17","8",499164.3429,"Acer",1,"<40"
"234",30284.09299,22,"4","13","7",280717.2947,"Sony",1,"<40"
"235",109093.4971,78,"2","11","0",290646.7968,"Sony",3,"60+"
"236",97601.6357,71,"2","17","0",419576.2768,"Sony",3,"60+"
"237",106770.4341,73,"0","17","3",22987.74052,"Sony",3,"60+"
"238",75378.26838,49,"0","19","6",92529.98293,"Sony",2,"40-60"
"239",101945.0692,49,"1","2","5",423675.1601,"Acer",2,"40-60"
"240",61634.36353,40,"0","16","0",193099.202,"Acer",2,"40-60"
"241",87590.62225,26,"1","4","8",492069.2417,"Acer",1,"<40"
"242",73026.74521,25,"4","14","3",56413.10219,"Acer",1,"<40"
"243",115456.8145,69,"2","19","1",402206.1683,"Sony",3,"60+"
"244",51667.38702,70,"2","1","8",347967.0229,"Acer",3,"60+"
"245",127191.5922,39,"0","18","1",166839.0287,"Sony",1,"<40"
"246",134265.5064,64,"0","14","6",216715.7577,"Sony",3,"60+"
"247",77252.30572,30,"1","14","6",369266.2609,"Acer",1,"<40"
"248",32157.30871,40,"3","8","8",427414.4693,"Sony",2,"40-60"
"249",101426.2983,20,"4","15","1",144685.8191,"Sony",1,"<40"
"250",31327.01506,37,"3","14","5",244495.5525,"Sony",1,"<40"
"251",91331.60101,70,"3","16","5",317889.0442,"Sony",3,"60+"
"252",119657.7762,31,"1","7","4",232172.259,"Sony",1,"<40"
"253",59217.17824,58,"0","10","2",173339.5829,"Acer",2,"40-60"
"254",128632.2041,33,"3","18","4",49848.98053,"Sony",1,"<40"
"255",23368.89826,51,"3","1","3",442672.5687,"Sony",2,"40-60"
"256",20000,34,"4","18","3",134710.0769,"Sony",1,"<40"
"257",101699.427,67,"0","4","2",166498.081,"Sony",3,"60+"
"258",130758.152,74,"3","16","6",170660.5457,"Sony",3,"60+"
"259",104663.798,77,"1","19","2",309124.8861,"Sony",3,"60+"
"260",63922.48979,34,"4","11","3",389379.4122,"Acer",1,"<40"
"261",140924.8071,80,"2","3","0",299265.7607,"Sony",3,"60+"
"262",39443.5188,20,"3","20","8",146688.4045,"Sony",1,"<40"
"263",78378.65633,42,"2","7","1",203090.9077,"Acer",2,"40-60"
"264",106795.6744,58,"2","4","8",137897.6149,"Sony",2,"40-60"
"265",33148.32585,70,"2","2","1",436216.7408,"Acer",3,"60+"
"266",140087.6923,78,"2","2","5",360342.8861,"Sony",3,"60+"
"267",140612.5067,50,"2","13","6",276639.7362,"Sony",2,"40-60"
"268",72867.35203,67,"4","10","5",301189.2593,"Sony",3,"60+"
"269",94564.46832,34,"1","5","2",407331.4248,"Acer",1,"<40"
"270",115429.476,57,"0","1","4",145421.5062,"Acer",2,"40-60"
"271",55620.66204,71,"4","17","6",477419.175,"Acer",3,"60+"
"272",33347.36033,70,"0","14","6",482101.269,"Acer",3,"60+"
"273",39214.95888,46,"2","12","5",251382.0715,"Sony",2,"40-60"
"274",52866.81021,73,"1","6","5",61389.59241,"Acer",3,"60+"
"275",24178.67841,75,"2","8","2",75488.25598,"Acer",3,"60+"
"276",45116.38819,28,"4","16","6",281700.2304,"Sony",1,"<40"
"277",27562.06748,27,"1","17","1",156619.7207,"Sony",1,"<40"
"278",127504.2488,47,"4","6","5",422383.8784,"Sony",2,"40-60"
"279",35821.31543,58,"2","11","3",327520.885,"Sony",2,"40-60"
"280",86313.61526,63,"0","19","5",457528.8196,"Sony",3,"60+"
"281",150000,80,"1","19","3",249547.659,"Sony",3,"60+"
"282",129134.939,23,"3","4","7",166516.1563,"Sony",1,"<40"
"283",111867.2446,48,"0","18","5",307842.5284,"Acer",2,"40-60"
"284",117098.6279,35,"0","14","0",499503.2089,"Sony",1,"<40"
"285",51410.89278,65,"3","3","4",347975.1063,"Acer",3,"60+"
"286",104236.7524,38,"4","3","6",48980.45387,"Sony",1,"<40"
"287",65666.1086,77,"0","8","4",11105.34325,"Acer",3,"60+"
"288",110467.0547,79,"0","15","5",499205.9892,"Sony",3,"60+"
"289",105509.2957,80,"4","16","1",337376.1201,"Sony",3,"60+"
"290",135012.8618,41,"2","17","0",203638.7886,"Sony",2,"40-60"
"291",133548.1379,80,"1","1","1",339518.2798,"Sony",3,"60+"
"292",86242.63475,22,"4","10","4",206786.4271,"Acer",1,"<40"
"293",56309.34769,36,"1","9","6",130129.9302,"Acer",1,"<40"
"294",27660.54122,32,"1","7","1",251119.3738,"Sony",1,"<40"
"295",139175.3315,71,"0","11","2",166746.0168,"Sony",3,"60+"
"296",100577.598,35,"2","8","7",288933.1394,"Sony",1,"<40"
"297",35053.53208,24,"1","16","0",254572.0155,"Sony",1,"<40"
"298",136474.7176,74,"4","8","4",197450.6893,"Sony",3,"60+"
"299",147791.2778,69,"0","16","7",255592.9654,"Sony",3,"60+"
"300",39644.082,30,"3","2","8",463629.845,"Sony",1,"<40"
"301",39372.49599,36,"0","18","5",350532.37,"Sony",1,"<40"
"302",26573.25429,58,"0","12","2",253095.6447,"Sony",2,"40-60"
"303",149630.8909,75,"3","3","4",264908.7865,"Sony",3,"60+"
"304",72179.50889,20,"4","18","5",12750.89578,"Acer",1,"<40"
"305",79986.354,49,"3","2","6",5e+05,"Acer",2,"40-60"
"306",44697.96179,70,"3","3","2",195563.4292,"Acer",3,"60+"
"307",32394.8929,77,"4","7","5",383085.772,"Acer",3,"60+"
"308",143742.3542,80,"4","11","8",129507.0112,"Sony",3,"60+"
"309",129443.8747,43,"1","12","6",256947.4255,"Sony",2,"40-60"
"310",138335.9256,50,"1","6","6",0,"Sony",2,"40-60"
"311",146398.1479,23,"3","8","8",256626.6264,"Sony",1,"<40"
"312",122047.985,65,"0","5","5",480214.2265,"Sony",3,"60+"
"313",111228.2913,75,"2","9","7",390871.9861,"Sony",3,"60+"
"314",148080.6561,25,"4","6","8",348060.9535,"Sony",1,"<40"
"315",43943.42343,78,"3","10","2",140100.8136,"Acer",3,"60+"
"316",103863.5228,44,"4","17","5",120606.6879,"Acer",2,"40-60"
"317",65915.23752,71,"3","16","6",283638.8152,"Acer",3,"60+"
"318",38684.30988,31,"4","1","3",326804.9511,"Sony",1,"<40"
"319",93678.64998,22,"3","11","3",462596.6417,"Acer",1,"<40"
"320",35888.77853,59,"2","14","0",16701.63707,"Acer",2,"40-60"
"321",142943.6474,62,"3","1","2",222267.6605,"Sony",3,"60+"
"322",77634.44653,39,"4","16","2",378508.0924,"Acer",1,"<40"
"323",30479.86686,32,"1","9","1",447580.5806,"Sony",1,"<40"
"324",48970.60266,44,"4","3","2",5e+05,"Sony",2,"40-60"
"325",57425.65076,34,"3","16","2",100141.4186,"Acer",1,"<40"
"326",33813.23216,32,"4","12","4",380759.4711,"Sony",1,"<40"
"327",43465.95266,79,"3","11","4",305635.7217,"Acer",3,"60+"
"328",29502.27521,73,"2","18","7",326220.1284,"Acer",3,"60+"
"329",33075.38364,64,"2","13","8",80936.28401,"Acer",3,"60+"
"330",51743.85768,42,"2","19","8",233174.5004,"Sony",2,"40-60"
"331",82071.85363,37,"3","14","2",81533.14727,"Acer",1,"<40"
"332",135270.97,39,"0","15","7",9949.779397,"Sony",1,"<40"
"333",142641.5404,41,"2","8","7",127900.6,"Sony",2,"40-60"
"334",126044.3852,26,"2","2","1",113170.0659,"Sony",1,"<40"
"335",52016.06066,68,"4","11","8",193598.5375,"Acer",3,"60+"
"336",116184.3174,57,"4","20","5",472757.6667,"Acer",2,"40-60"
"337",120265.442,52,"2","18","3",98261.74286,"Acer",2,"40-60"
"338",21068.60387,67,"1","12","0",75248.05204,"Sony",3,"60+"
"339",142443.0239,80,"3","14","2",217056.5673,"Sony",3,"60+"
"340",140838.5331,53,"2","12","1",46629.10429,"Sony",2,"40-60"
"341",22242.57266,48,"1","20","4",233237.7063,"Sony",2,"40-60"
"342",141371.3985,57,"2","20","3",6758.350787,"Sony",2,"40-60"
"343",134775.7078,43,"1","17","4",410810.9561,"Sony",2,"40-60"
"344",106922.9616,46,"2","8","3",296361.4239,"Acer",2,"40-60"
"345",41864.3411,60,"3","15","5",58115.38434,"Sony",3,"60+"
"346",122989.4859,37,"1","20","8",227905.1129,"Sony",1,"<40"
"347",99902.58369,71,"0","9","4",282061.1136,"Sony",3,"60+"
"348",52389.86608,54,"0","15","8",430955.7821,"Sony",2,"40-60"
"349",79392.67683,74,"2","1","2",329353.3819,"Sony",3,"60+"
"350",50889.06737,20,"1","14","4",258743.9115,"Acer",1,"<40"
"351",74794.92271,76,"4","2","6",412814.9437,"Sony",3,"60+"
"352",57894.79151,51,"1","5","2",237874.4637,"Sony",2,"40-60"
"353",135945.736,50,"3","13","1",238705.9121,"Sony",2,"40-60"
"354",96689.21987,54,"2","10","3",487481.5287,"Acer",2,"40-60"
"355",68762.76949,23,"3","5","2",114843.3943,"Acer",1,"<40"
"356",122551.7236,49,"4","6","7",302519.8818,"Acer",2,"40-60"
"357",75542.84898,43,"2","20","4",282457.5975,"Acer",2,"40-60"
"358",97699.81786,44,"0","5","2",247841.0204,"Acer",2,"40-60"
"359",111351.8974,60,"3","14","1",73525.24482,"Acer",3,"60+"
"360",89588.20479,57,"4","2","8",135932.529,"Acer",2,"40-60"
"361",55621.78875,27,"1","10","2",175872.8005,"Sony",1,"<40"
"362",98651.00161,78,"2","1","7",41914.95199,"Sony",3,"60+"
"363",55803.12968,57,"1","19","0",40565.0112,"Sony",2,"40-60"
"364",135735.9405,57,"1","18","7",262196.0391,"Sony",2,"40-60"
"365",26841.50521,62,"2","10","3",87196.19052,"Acer",3,"60+"
"366",113979.4842,50,"0","15","1",346036.0698,"Acer",2,"40-60"
"367",48157.01149,29,"1","4","7",185975.9986,"Acer",1,"<40"
"368",117185.4423,22,"4","11","8",459101.3155,"Sony",1,"<40"
"369",98307.96132,70,"0","3","4",176121.6993,"Sony",3,"60+"
"370",94581.28116,53,"4","19","6",462672.6022,"Acer",2,"40-60"
"371",45999.89628,27,"1","7","3",457194.7733,"Sony",1,"<40"
"372",144319.3392,44,"2","1","0",210068.5642,"Sony",2,"40-60"
"373",128510.2701,25,"4","20","0",286141.4123,"Sony",1,"<40"
"374",88681.66785,50,"0","6","3",482451.3143,"Acer",2,"40-60"
"375",83085.42169,27,"4","14","2",347913.5229,"Acer",1,"<40"
"376",44655.18338,48,"0","11","0",155636.1568,"Sony",2,"40-60"
"377",63422.14887,61,"3","1","6",61648.92554,"Acer",3,"60+"
"378",66195.07727,21,"2","1","7",298709.2934,"Acer",1,"<40"
"379",59426.49474,40,"1","11","5",135368.5119,"Acer",2,"40-60"
"380",65083.38662,74,"0","11","2",185190.7403,"Acer",3,"60+"
"381",48500.56561,49,"2","13","8",44186.07399,"Sony",2,"40-60"
"382",133551.7754,32,"0","1","5",125096.4503,"Sony",1,"<40"
"383",83480.76569,58,"4","8","8",258172.6584,"Acer",2,"40-60"
"384",101616.8309,71,"2","19","6",287762.4035,"Sony",3,"60+"
"385",40712.90078,56,"4","17","8",380280.1481,"Sony",2,"40-60"
